"ID","Type","Stars","Status","Priority","Owner","Summary","Opened"
"9856","Feature","2","Released","3","synto...@gmail.com","Dockerize analytics-etl","Oct 13, 2018"
"9855","Bug","2","Submitted","3","synto...@gmail.com","CI should not build analytics-wizard plugin for 2.15","Oct 12, 2018"
"9854","Bug","2","Released","3","synto...@gmail.com","analytics-wizard does not provide working docker-compose stack","Oct 12, 2018"
"9853","Feature","3","Released","3","","Provide option to disable text wrapping","Oct 12, 2018"
"9852","","1","Duplicate","","","People's replies hidden in collapsed log","Oct 12, 2018"
"9851","","1","Released","","","Sometimes avatars do not show unless you press hard refresh.","Oct 12, 2018"
"9850","Bug","5","New","2","","DB connections metrics in JavaMelody / Prometheus is always zero","Oct 12, 2018"
"9849","","5","New","4","","Old-style side-by-side diff scrolling behavior","Oct 12, 2018"
"9848","","1","Duplicate","","","Can't find a way to edit files in the new UI","Oct 12, 2018"
"9847","Feature","1","Duplicate","3","","Make it clear when CRs are in a chain","Oct 12, 2018"
"9844","Feature","2","Duplicate","3","","Edit commit online.","Oct 11, 2018"
"9843","","3","Duplicate","","","PolyGerrit UI feedback","Oct 11, 2018"
"9842","Bug","8","New","3","","All requests failing after hanging in commons-pool borrowObject()","Oct 11, 2018"
"9839","Bug","5","New","3","","imagare plugin is broken @ gerrit master","Oct 10, 2018"
"9838","Bug","1","Released","3","synto...@gmail.com","Analytics-wizard plugin doesn't work against gerrit master","Oct 10, 2018"
"9837","","3","New","3","","Not clear if Exclusive toggle is enabled or not on dark theme","Oct 10, 2018"
"9836","Bug","12","Released","1","luca....@gmail.com","Database Connection Issues After Upgrading To 2.15.5","Oct 10, 2018"
"9835","","5","New","2","","Hard to separate authors from text in comment threads","Oct 10, 2018"
"9834","","1","Duplicate","","","Sporadically being shown server error dialogs","Oct 10, 2018"
"9833","","1","Invalid","","","When you have LGTM from one reviewer, add others, the green shifts to the new reviewer","Oct 10, 2018"
"9832","","3","Duplicate","","","Clarify relationships in the change dependency presentation","Oct 10, 2018"
"9831","Bug","3","Submitted","3","","Try to build gerrit 2.13.11 on a clean system fails - old bower registry now deprecated.","Oct 9, 2018"
"9830","Bug","1","Duplicate","3","","Cannot remove myself as reviewer from abandoned change","Oct 9, 2018"
"9829","Feature","3","New","3","","Gerrit should provide a UI section and hooks for CI systems","Oct 9, 2018"
"9828","Bug","3","New","3","","Hint text is omitted in console output when force push is denied over ssh","Oct 9, 2018"
"9826","","3","New","3","","I have to scroll horizontally in the dashboard.","Oct 9, 2018"
"9825","Bug","1","Released","3","","user-inline-edit.txt.html_htmlonly_expn: line 191: change-edit-actions sections do not support nested sections","Oct 9, 2018"
"9824","","3","New","","","it would be great to have an API for 'git blame'","Oct 9, 2018"
"9823","Bug","3","Released","1","synto...@gmail.com","Wrong access path on git-receive-pack","Oct 8, 2018"
"9822","","4","Released","","","new UI does not show files to merge for commit","Oct 8, 2018"
"9821","","2","Invalid","","","In any user suggestion, no suggested users appeared.","Oct 8, 2018"
"9820","Bug","1","Submitted","1","","com.google.gwtorm.server.OrmException: java.util.NoSuchElementException: No value present","Oct 8, 2018"
"9819","","4","Released","","","Add avatar to settings including avatars change url","Oct 7, 2018"
"9818","","2","Released","1","kaspern@google.com","Search is broken","Oct 6, 2018"
"9817","Bug","6","New","3","","502 error when opening file","Oct 6, 2018"
"9816","Bug","6","New","3","","Add ""Edit Preference"" to inline editor","Oct 6, 2018"
"9815","","7","New","3","","control+a does not copy text in diff like old ui","Oct 6, 2018"
"9814","","3","WontFix","3","","""Update from <author>"" notifications do not show with PolyGerrit","Oct 5, 2018"
"9813","Bug","3","CannotReproduce","0","","git cl upload is taking in excess of 10 minutes to upload","Oct 5, 2018"
"9812","Bug","6","New","3","","Merge commit cannot be moved","Oct 5, 2018"
"9811","","1","Released","","","SSH set-project command needs 'project-state' parameter and API changed ","Oct 5, 2018"
"9810","","3","Duplicate","","","Make more explicit parent and what is the child in relation chain","Oct 5, 2018"
"9809","","3","Duplicate","","","Allow patch uploader to edit there patch description","Oct 5, 2018"
"9808","","3","Incomplete","","","Gerrit lost my side-by-side diff preference","Oct 4, 2018"
"9807","","3","New","","","Getting 'an error occured' dialog on gerrit","Oct 4, 2018"
"9806","Bug","2","Submitted","2","ghareeb@google.com","""Only comments"" slider hides actual comment replies from CL author (both from UI and email)","Oct 4, 2018"
"9805","Feature","9","New","3","","Show changes since the last patchset on which I commented","Oct 4, 2018"
"9804","","2","Duplicate","","","Collapsible sections on the dashboard","Oct 4, 2018"
"9803","","3","CannotReproduce","2","vikt...@google.com","Getting error ""Plugin install error: TypeError: self.onAction is not a function""","Oct 4, 2018"
"9802","","1","Duplicate","","","Tricium shellcheck complains about use of 'local' in shell scripts","Oct 4, 2018"
"9801","","4","Released","2","qyear...@chromium.org","Can't reply to Tricium comments: ""Server error: range endLine must be on the same line as the comment""","Oct 4, 2018"
"9800","","6","AwaitingInformation","","","Your > Changes not working","Oct 3, 2018"
"9799","","5","New","3","","Use a loop and scheduler instead of nextStep recursion with limit","Oct 3, 2018"
"9798","","5","New","3","","~600ms of startup time is processing shimmed stylesheets","Oct 3, 2018"
"9797","","6","New","1","","Server error: Invalid authentication method. In order to authenticate, prefix the REST endpoint URL with /a/ (e.g. http://example.com/a/projects/).","Oct 3, 2018"
"9796","","1","CannotReproduce","","","(owners plugin) ""internal server error: Error inserting change/patchset"" when pushing","Oct 3, 2018"
"9795","Bug","1","Duplicate","3","","Syntax highlighting broken by a specific diff","Oct 3, 2018"
"9794","","1","Invalid","","","Logic works, but it's best to stick with the same naming conventions","Oct 3, 2018"
"9793","","2","Invalid","","","Old UI MUCH Easier to Use.","Oct 3, 2018"
"9792","","4","AwaitingInformation","","","Grey Backgroud color on right side makes finding changes harder to see.","Oct 3, 2018"
"9791","Feature","1","Invalid","3","","MediaRecorder of android.","Oct 2, 2018"
"9790","","3","New","","","Replying to merged change doesn't automatically add me as reviewer","Oct 2, 2018"
"9788","Bug","1","Submitted","3","","TypeError(""Can't mix strings and bytes in path components"") from None when generating Eclipse project for webhooks","Oct 2, 2018"
"9787","","2","Released","","","Getting ""Server error"" when sending comments to WIP changes","Oct 2, 2018"
"9786","Bug","2","WontFix","3","","REST return )]}' at the begining of response","Oct 1, 2018"
"9783","Feature","5","New","3","","Option to disable ""Assignee"" functionality","Sep 29, 2018"
"9782","","2","Invalid","","","خطير","Sep 29, 2018"
"9781","Bug","3","Released","1","luca....@gmail.com","LDAP Groups membership disappears when project cache is not fully loaded","Sep 29, 2018"
"9779","Bug","2","Released","3","","""unknown enum constant ReflectionSupport$Level.FULL"" when building gerrit","Sep 28, 2018"
"9778","Feature","5","Released","2","kaspern@google.com","'t' keyboard shortcut to add topic","Sep 28, 2018"
"9777","","2","Duplicate","","","Lack of edit file or commit-msg feature existed previously","Sep 27, 2018"
"9776","Bug","4","Released","3","","""private change"" option is still shown on change creation dialog even though private changes are disabled.","Sep 27, 2018"
"9775","Feature","1","Released","","","Searching ""repo:.*"" fails to search repositories","Sep 27, 2018"
