"ID","Type","Stars","Status","Owner","Summary","Opened"
"715","Feature","1","WontFix","","show full timestamp for comments","Sep 5, 2010"
"714","Bug","1","Duplicate","","Enter key does not execute the comment buttons","Sep 4, 2010"
"713","Bug","1","Duplicate","","Enter key does not execute the comment buttons","Sep 4, 2010"
"712","Bug","2","Released","","Enter key does not execute the comment buttons","Sep 4, 2010"
"711","Feature","1","WontFix","","Add 0 to R column in dashboard","Sep 4, 2010"
"710","Feature","11","WontFix","","multiple project parent inheritance","Sep 4, 2010"
"709","Feature","19","Released","","Replication status stream","Sep 4, 2010"
"708","Bug","3","Released","","ref right '-refs/heads/*' doesn't block parent's 'refs/heads/*'","Sep 4, 2010"
"707","Bug","1","WontFix","","Google Apps does not work with OpenID registration","Sep 3, 2010"
"706","Bug","1","Released","","File name is not displayed correctly when it includes @ (atmark)","Sep 3, 2010"
"705","Bug","1","Invalid","","fgvbn","Sep 2, 2010"
"704","Feature","1","Released","","Overhaul of watch funtionality","Sep 2, 2010"
"703","Feature","6","Released","","""Master and apprentice"" concept in review activity.","Sep 2, 2010"
"702","Feature","29","Accepted","","Gui for Gerrit admins to change other users settings","Sep 2, 2010"
"701","Bug","2","WontFix","","Comments are allowed to overflow out of their enclosing <div> / <table>","Sep 2, 2010"
"700","Feature","1","WontFix","","Notify slaves when a cache entry is stale through a stream","Sep 2, 2010"
"699","Feature","5","Released","","Limit number of changes created in single push","Sep 1, 2010"
"698","Feature","2","Released","","Support 24-hour clock formatting","Sep 1, 2010"
"697","Feature","2","Duplicate","","Provide a way to get email notification of *all* changes (including pushes) to the repo","Sep 1, 2010"
"696","Feature","1","Invalid","","Allow changes to manifest (from .repo/manifests)","Aug 31, 2010"
"695","Bug","1","Released","","Gerrit rejects replacement commit with only the author changed","Aug 31, 2010"
"694","Feature","11","Released","","LDAP should mark users inactive","Aug 29, 2010"
"693","Feature","1","Duplicate","","Configurable mail notifications subject line","Aug 27, 2010"
"692","Feature","1","Duplicate","","Keyboard shortcuts should be consistent with Mondrian","Aug 27, 2010"
"691","Feature","3","Released","","Hitting ""next page"" keyboard shortcut when viewing the last file should take me to the overview","Aug 27, 2010"
"690","Bug","1","Released","","Gerrit should warn if refs/for/<branch> is a real ref instead of complaining that the change is ""non-fast-forward""","Aug 26, 2010"
"689","Bug","0","Released","","age:4weeks doesn't work as search operator","Aug 26, 2010"
"688","Feature","2","Released","","Support regex searching for branch: or ref: (or both)","Aug 26, 2010"
"687","Feature","1","WontFix","","Project watchers should receive mails by cc not bcc","Aug 26, 2010"
"686","Feature","3","WontFix","","Be able to prioritize sync threads","Aug 26, 2010"
"685","Bug","2","Released","","After restart GERRIT service, all mirrors starts syncing","Aug 26, 2010"
"684","Feature","1","Released","","Add user preferences configuring default tab width and number of columns","Aug 25, 2010"
"683","Bug","1","Released","","Bad authGroup can lead to over-replication","Aug 25, 2010"
